episode,steps,total_reward,success
544,200,-200.0,False
545,200,-200.0,False
546,200,-200.0,False
547,200,-200.0,False
548,200,-200.0,False
549,200,-200.0,False
550,200,-200.0,False
551,200,-200.0,False
552,200,-200.0,False
553,200,-200.0,False
554,200,-200.0,False
555,200,-200.0,False
556,200,-200.0,False
557,200,-200.0,False
558,8,993.0,True
559,200,-200.0,False
560,200,-200.0,False
561,200,-200.0,False
562,200,-200.0,False
563,200,-200.0,False
564,200,-200.0,False
565,200,-200.0,False
566,200,-200.0,False
567,200,-200.0,False
568,200,-200.0,False
569,200,-200.0,False
570,200,-200.0,False
571,4,997.0,True
572,200,-200.0,False
573,200,-200.0,False
574,200,-200.0,False
575,200,-200.0,False
576,200,-200.0,False
577,200,-200.0,False
578,200,-200.0,False
579,200,-200.0,False
580,4,997.0,True
581,20,981.0,True
582,200,-200.0,False
583,200,-200.0,False
584,200,-200.0,False
585,200,-200.0,False
586,200,-200.0,False
587,200,-200.0,False
588,200,-200.0,False
589,200,-200.0,False
590,200,-200.0,False
591,200,-200.0,False
592,200,-200.0,False
593,200,-200.0,False
594,2,999.0,True
595,2,999.0,True
596,200,-200.0,False
597,10,991.0,True
598,200,-200.0,False
599,200,-200.0,False
600,200,-200.0,False
601,200,-200.0,False
602,8,993.0,True
603,200,-200.0,False
604,200,-200.0,False
605,200,-200.0,False
606,200,-200.0,False
607,200,-200.0,False
608,200,-200.0,False
609,200,-200.0,False
610,200,-200.0,False
611,200,-200.0,False
612,200,-200.0,False
613,200,-200.0,False
614,200,-200.0,False
615,200,-200.0,False
616,200,-200.0,False
617,200,-200.0,False
618,200,-200.0,False
619,200,-200.0,False
620,200,-200.0,False
621,200,-200.0,False
622,200,-200.0,False
623,36,965.0,True
624,200,-200.0,False
625,200,-200.0,False
626,200,-200.0,False
627,200,-200.0,False
628,200,-200.0,False
629,200,-200.0,False
630,200,-200.0,False
631,200,-200.0,False
632,200,-200.0,False
633,200,-200.0,False
634,200,-200.0,False
635,4,997.0,True
636,200,-200.0,False
637,200,-200.0,False
638,200,-200.0,False
639,14,987.0,True
640,200,-200.0,False
641,200,-200.0,False
642,200,-200.0,False
643,200,-200.0,False
644,200,-200.0,False
645,200,-200.0,False
646,200,-200.0,False
647,200,-200.0,False
648,200,-200.0,False
649,4,997.0,True
650,200,-200.0,False
651,200,-200.0,False
652,200,-200.0,False
653,200,-200.0,False
654,200,-200.0,False
655,200,-200.0,False
656,200,-200.0,False
657,200,-200.0,False
658,200,-200.0,False
659,200,-200.0,False
660,200,-200.0,False
661,200,-200.0,False
662,4,997.0,True
663,200,-200.0,False
664,200,-200.0,False
665,200,-200.0,False
666,200,-200.0,False
667,200,-200.0,False
668,56,945.0,True
669,200,-200.0,False
670,4,997.0,True
671,200,-200.0,False
672,200,-200.0,False
673,200,-200.0,False
674,200,-200.0,False
675,200,-200.0,False
676,200,-200.0,False
677,200,-200.0,False
678,200,-200.0,False
679,200,-200.0,False
680,200,-200.0,False
681,200,-200.0,False
682,200,-200.0,False
683,200,-200.0,False
684,200,-200.0,False
685,4,997.0,True
686,200,-200.0,False
687,2,999.0,True
688,200,-200.0,False
689,200,-200.0,False
690,200,-200.0,False
691,200,-200.0,False
692,2,999.0,True
693,200,-200.0,False
694,200,-200.0,False
695,10,991.0,True
696,200,-200.0,False
697,200,-200.0,False
698,200,-200.0,False
699,200,-200.0,False
700,200,-200.0,False
701,200,-200.0,False
702,200,-200.0,False
703,200,-200.0,False
704,2,999.0,True
705,200,-200.0,False
706,200,-200.0,False
707,200,-200.0,False
708,200,-200.0,False
709,200,-200.0,False
710,200,-200.0,False
711,20,981.0,True
712,200,-200.0,False
713,200,-200.0,False
714,200,-200.0,False
715,200,-200.0,False
716,200,-200.0,False
717,200,-200.0,False
718,200,-200.0,False
719,200,-200.0,False
720,200,-200.0,False
721,200,-200.0,False
722,200,-200.0,False
723,6,995.0,True
724,200,-200.0,False
725,200,-200.0,False
726,200,-200.0,False
727,200,-200.0,False
728,200,-200.0,False
729,200,-200.0,False
730,200,-200.0,False
731,200,-200.0,False
732,200,-200.0,False
733,22,979.0,True
734,200,-200.0,False
735,200,-200.0,False
736,200,-200.0,False
737,200,-200.0,False
738,18,983.0,True
739,200,-200.0,False
740,200,-200.0,False
741,6,995.0,True
742,200,-200.0,False
743,2,999.0,True
744,200,-200.0,False
745,200,-200.0,False
746,2,999.0,True
747,200,-200.0,False
748,200,-200.0,False
749,200,-200.0,False
750,200,-200.0,False
751,200,-200.0,False
752,200,-200.0,False
753,4,997.0,True
754,4,997.0,True
755,200,-200.0,False
756,200,-200.0,False
757,200,-200.0,False
758,200,-200.0,False
759,200,-200.0,False
760,14,987.0,True
761,200,-200.0,False
762,200,-200.0,False
763,200,-200.0,False
764,200,-200.0,False
765,200,-200.0,False
766,200,-200.0,False
767,200,-200.0,False
768,200,-200.0,False
769,200,-200.0,False
770,200,-200.0,False
771,200,-200.0,False
772,200,-200.0,False
773,200,-200.0,False
774,200,-200.0,False
775,200,-200.0,False
776,200,-200.0,False
777,6,995.0,True
778,12,989.0,True
779,200,-200.0,False
780,200,-200.0,False
781,200,-200.0,False
782,200,-200.0,False
